row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11,reis_13,reis_15,reis_17
1,Piira,5900565-1,5900565-1,06:20,07:20,08:20,09:25,10:30,12:30,14:30,16:30,18:30
2,Palermo,5900382-1,5900382-1,06:22,07:22,08:22,09:27,10:32,12:32,14:32,16:32,18:32
3,Mäe,5900464-1,5900464-1,06:23,07:23,08:23,09:28,10:33,12:33,14:33,16:33,18:33
4,Tartu,5900794-1,5900794-1,06:24,07:24,08:24,09:29,10:34,12:34,14:34,16:34,18:34
5,Karja,5900209-1,5900209-1,06:25,07:25,08:25,09:30,10:35,12:35,14:35,16:35,18:35
6,Side,5900728-1,5900728-1,06:26,07:26,08:26,09:31,10:36,12:36,14:36,16:36,18:36
7,Kungla,5900310-1,5900310-1,06:27,07:27,08:27,09:32,10:37,12:37,14:37,16:37,18:37
8,Polikliinik,5900577-1,5900577-1,06:28,07:28,08:28,09:33,10:38,12:38,14:38,16:38,18:38
9,Bussijaam,5900055-1,5900055-1,06:30,07:30,08:30,09:35,10:40,12:40,14:40,16:40,18:40
10,Laada,5900338-1,5900338-1,06:31,07:31,08:31,09:36,10:41,12:41,14:41,16:41,18:41
11,Võidu,5900979-1,5900979-1,06:32,07:32,08:32,09:37,10:42,12:42,14:42,16:42,18:42
12,Raudteejaam,5901241-1,5901241-1,06:33,07:33,08:33,09:38,10:43,12:43,14:43,16:43,18:43
13,Kauba,5901245-1,5901245-1,06:34,07:34,08:34,09:39,10:44,12:44,14:44,16:44,18:44
14,Õli,5901012-1,5901012-1,06:37,07:37,08:37,09:42,10:47,12:47,14:47,16:47,18:47
15,Vilepilli,5900867-1,5900867-1,06:40,07:40,08:40,09:45,10:50,12:50,14:50,16:50,18:50
16,Narva,5900485-1,5900485-1,06:43,07:43,08:43,09:48,10:53,12:53,14:53,16:53,18:53
17,Näpi,5900508-1,,06:48,07:48,08:48,09:53,10:58,12:58,14:58,16:58,18:58
18,Näpi,5900508-1,,06:50,07:50,08:58,09:57,11:00,13:00,15:00,17:00,19:00
19,Narva,5900484-1,5900484-1,06:51,07:51,08:59,09:58,11:01,13:01,15:01,17:01,19:01
20,Kauba,5900220-1,5900220-1,06:53,07:53,09:01,10:00,11:03,13:03,15:03,17:03,19:03
21,Raudteejaam,5900635-1,5900635-1,06:54,07:54,09:02,10:01,11:04,13:04,15:04,17:04,19:04
22,Võidu,5900980-1,5900980-1,06:54,07:54,09:02,10:01,11:04,13:04,15:04,17:04,19:04
23,Lai,5900346-1,5900346-1,06:56,07:56,09:04,10:03,11:06,13:06,15:06,17:06,19:06
24,Keskuse,5900255-1,5900255-1,07:01,08:01,09:09,10:08,11:11,13:11,15:11,17:11,19:11
25,Polikliinik,5900576-1,5900576-1,07:02,08:02,09:10,10:09,11:12,13:12,15:12,17:12,19:12
26,Kungla,5900311-1,5900311-1,07:03,08:03,09:11,10:10,11:13,13:13,15:13,17:13,19:13
27,Side,5900729-1,5900729-1,07:04,08:04,09:12,10:11,11:14,13:14,15:14,17:14,19:14
28,Karja,5900210-1,5900210-1,07:05,08:05,09:13,10:12,11:15,13:15,15:15,17:15,19:15
29,Tartu,5900795-1,5900795-1,07:06,08:06,09:14,10:13,11:16,13:16,15:16,17:16,19:16
30,Mäe,5900465-1,5900465-1,07:07,08:07,09:15,10:14,11:17,13:17,15:17,17:17,19:17
31,Palermo,5900381-1,5900381-1,07:08,08:08,09:16,10:15,11:18,13:18,15:18,17:18,19:18
32,Piira,5900565-1,5900565-1,07:11,08:11,09:19,10:18,11:21,13:21,15:21,17:21,19:21
