row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11
1,Piira,5900565-1,5900565-1,08:30,10:30,12:30,14:30,16:30,17:30
2,Palermo,5900382-1,5900382-1,08:32,10:32,12:32,14:32,16:32,17:32
3,Mäe,5900464-1,5900464-1,08:33,10:33,12:33,14:33,16:33,17:33
4,Tartu,5900794-1,5900794-1,08:34,10:34,12:34,14:34,16:34,17:34
5,Karja,5900209-1,5900209-1,08:35,10:35,12:35,14:35,16:35,17:35
6,Side,5900728-1,5900728-1,08:36,10:36,12:36,14:36,16:36,17:36
7,Kungla,5900310-1,5900310-1,08:37,10:37,12:37,14:37,16:37,17:37
8,Polikliinik,5900577-1,5900577-1,08:38,10:38,12:38,14:38,16:38,17:38
9,Bussijaam,5900055-1,5900055-1,08:40,10:40,12:40,14:40,16:40,17:40
10,Laada,5900338-1,5900338-1,08:41,10:41,12:41,14:41,16:41,17:41
11,Võidu,5900979-1,5900979-1,08:42,10:42,12:42,14:42,16:42,17:42
12,Raudteejaam,5901241-1,5901241-1,08:43,10:43,12:43,14:43,16:43,17:43
13,Kauba,5901245-1,5901245-1,08:44,10:44,12:44,14:44,16:44,17:44
14,Õli,5901012-1,5901012-1,08:47,10:47,12:47,14:47,16:47,17:47
15,Vilepilli,5900867-1,5900867-1,08:50,10:50,12:50,14:50,16:50,17:50
16,Narva,5900485-1,5900485-1,08:53,10:53,12:53,14:53,16:53,17:53
17,Näpi,5900508-1,,08:58,10:58,12:58,14:58,16:58,17:58
18,Näpi,5900508-1,,09:00,11:00,13:00,15:00,17:00,18:00
19,Narva,5900484-1,5900484-1,09:01,11:01,13:01,15:01,17:01,18:01
20,Kauba,5900220-1,5900220-1,09:03,11:03,13:03,15:03,17:03,18:03
21,Raudteejaam,5900635-1,5900635-1,09:04,11:04,13:04,15:04,17:04,18:04
22,Võidu,5900980-1,5900980-1,09:04,11:04,13:04,15:04,17:04,18:04
23,Lai,5900346-1,5900346-1,09:06,11:06,13:06,15:06,17:06,18:06
24,Keskuse,5900255-1,5900255-1,09:11,11:11,13:11,15:11,17:11,18:11
25,Polikliinik,5900576-1,5900576-1,09:12,11:12,13:12,15:12,17:12,18:12
26,Kungla,5900311-1,5900311-1,09:13,11:13,13:13,15:13,17:13,18:13
27,Side,5900729-1,5900729-1,09:14,11:14,13:14,15:14,17:14,18:14
28,Karja,5900210-1,5900210-1,09:15,11:15,13:15,15:15,17:15,18:15
29,Tartu,5900795-1,5900795-1,09:16,11:16,13:16,15:16,17:16,18:16
30,Mäe,5900465-1,5900465-1,09:17,11:17,13:17,15:17,17:17,18:17
31,Palermo,5900381-1,5900381-1,09:18,11:18,13:18,15:18,17:18,18:18
32,Piira,5900565-1,5900565-1,09:21,11:21,13:21,15:21,17:21,18:21
