row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09
1,Piira,5900565-1,5900565-1,09:30,11:30,13:30,15:30,17:30
2,Palermo,5900382-1,5900382-1,09:32,11:32,13:32,15:32,17:32
3,Mäe,5900464-1,5900464-1,09:33,11:33,13:33,15:33,17:33
4,Tartu,5900794-1,5900794-1,09:34,11:34,13:34,15:34,17:34
5,Karja,5900209-1,5900209-1,09:35,11:35,13:35,15:35,17:35
6,Side,5900728-1,5900728-1,09:36,11:36,13:36,15:36,17:36
7,Kungla,5900310-1,5900310-1,09:37,11:37,13:37,15:37,17:37
8,Polikliinik,5900577-1,5900577-1,09:38,11:38,13:38,15:38,17:38
9,Bussijaam,5900055-1,5900055-1,09:40,11:40,13:40,15:40,17:40
10,Laada,5900338-1,5900338-1,09:41,11:41,13:41,15:41,17:41
11,Võidu,5900979-1,5900979-1,09:42,11:42,13:42,15:42,17:42
12,Raudteejaam,5901241-1,5901241-1,09:43,11:43,13:43,15:43,17:43
13,Kauba,5901245-1,5901245-1,09:44,11:44,13:44,15:44,17:44
14,Õli,5901012-1,5901012-1,09:47,11:47,13:47,15:47,17:47
15,Vilepilli,5900867-1,5900867-1,09:50,11:50,13:50,15:50,17:50
16,Narva,5900485-1,5900485-1,09:53,11:53,13:53,15:53,17:53
17,Näpi,5900508-1,,09:58,11:58,13:58,15:58,17:58
18,Näpi,5900508-1,,10:00,12:00,14:00,16:00,18:00
19,Narva,5900484-1,5900484-1,10:01,12:01,14:01,16:01,18:01
20,Kauba,5900220-1,5900220-1,10:03,12:03,14:03,16:03,18:03
21,Raudteejaam,5900635-1,5900635-1,10:04,12:04,14:04,16:04,18:04
22,Võidu,5900980-1,5900980-1,10:04,12:04,14:04,16:04,18:04
23,Lai,5900346-1,5900346-1,10:06,12:06,14:06,16:06,18:06
24,Keskuse,5900255-1,5900255-1,10:11,12:11,14:11,16:11,18:11
25,Polikliinik,5900576-1,5900576-1,10:12,12:12,14:12,16:12,18:12
26,Kungla,5900311-1,5900311-1,10:13,12:13,14:13,16:13,18:13
27,Side,5900729-1,5900729-1,10:14,12:14,14:14,16:14,18:14
28,Karja,5900210-1,5900210-1,10:15,12:15,14:15,16:15,18:15
29,Tartu,5900795-1,5900795-1,10:16,12:16,14:16,16:16,18:16
30,Mäe,5900465-1,5900465-1,10:17,12:17,14:17,16:17,18:17
31,Palermo,5900381-1,5900381-1,10:18,12:18,14:18,16:18,18:18
32,Piira,5900565-1,5900565-1,10:21,12:21,14:21,16:21,18:21
