row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_12
1,Lihakombinaat,5900659-1,5900659-1,06:20,07:20,08:17,16:30,17:35,18:30
2,Roodevälja,5900661-1,5900661-1,06:22,07:22,08:19,16:32,17:37,18:32
3,Papiaru,5901201-1,5901201-1,06:23,07:23,08:20,16:33,17:38,18:33
4,Arkna tee,5900036-1,5900036-1,06:24,07:24,08:21,16:34,17:39,18:34
5,Võidu,5900980-1,5900980-1,06:26,07:26,08:23,16:36,17:41,18:36
6,Lai,5900346-1,5900346-1,06:28,07:28,08:25,16:38,17:43,18:38
7,Keskuse,5900255-1,5900255-1,06:30,07:30,08:27,16:40,17:45,18:40
8,Polikliinik,5900576-1,5900576-1,06:31,07:31,08:28,16:41,17:46,18:41
9,Seminari,5900727-1,5900727-1,06:32,07:32,08:29,16:42,17:47,18:42
10,Karja,5900210-1,5900210-1,06:33,07:33,08:30,16:43,17:48,18:43
11,Tartu,5900795-1,5900795-1,06:34,07:34,08:31,16:44,17:49,18:44
12,Mäe,5900465-1,5900465-1,06:35,07:35,08:32,16:45,17:50,18:45
13,Palermo,5900381-1,5900381-1,06:36,07:36,08:33,16:46,17:51,18:46
14,Piira,5900565-1,5900565-1,06:40,07:40,08:37,16:50,17:55,18:50
