row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11
1,Piira,5900565-1,5900565-1,05:55,06:55,07:45,16:00,17:00,18:00
2,Palermo,5900382-1,5900382-1,05:57,06:57,07:47,16:02,17:02,18:02
3,Mäe,5900464-1,5900464-1,05:58,06:58,07:48,16:03,17:03,18:03
4,Tartu,5900794-1,5900794-1,05:59,06:59,07:49,16:04,17:04,18:04
5,Karja,5900209-1,5900209-1,06:00,07:00,07:50,16:05,17:05,18:05
6,Seminari,5900726-1,5900726-1,06:04,07:01,07:51,16:06,17:06,18:06
7,Polikliinik,5900577-1,5900577-1,06:05,07:05,07:55,16:10,17:10,18:10
8,Bussijaam,5900055-1,5900055-1,06:06,07:06,07:56,16:11,17:11,18:11
9,Laada,5900338-1,5900338-1,06:07,07:07,07:57,16:12,17:12,18:12
10,Võidu,5900979-1,5900979-1,06:08,07:08,07:58,16:13,17:13,18:13
11,Arkna tee,5900040-1,5900040-1,06:09,07:09,07:59,16:14,17:14,18:14
12,Papiaru,5901202-1,5901202-1,06:10,07:10,08:00,16:15,17:15,18:15
13,Roodevälja,5900660-1,5900660-1,06:11,07:11,08:01,16:16,17:16,18:16
14,Lihakombinaat,5900659-1,5900659-1,06:15,07:15,08:05,16:20,17:20,18:20
