row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11,reis_13,reis_15
1,Tõrma kalmistu,5900823-1,5900823-1,06:46,07:46,10:00,12:00,14:00,16:00,17:00,18:00
2,Pauluse kalmistu,5901156-1,5901156-1,06:47,07:47,10:01,12:01,14:01,16:01,17:01,18:01
3,Lilleoru,5900542-1,5900542-1,06:48,07:48,10:02,12:03,14:02,16:02,17:02,18:02
4,Ööbiku,5901018-1,5901018-1,06:49,07:49,10:03,12:04,14:03,16:03,17:03,18:03
5,Haigla,5900079-1,5900079-1,06:50,07:50,10:04,12:06,14:04,16:04,17:04,18:04
6,Saueaugu,5900710-1,5900710-1,06:51,07:51,10:05,12:07,14:05,16:05,17:05,18:05
7,Seminari,5900726-1,5900726-1,06:53,07:53,10:07,12:09,14:07,16:07,17:07,18:07
8,Polikliinik,5900577-1,5900577-1,06:55,07:55,10:09,12:10,14:09,16:09,17:09,18:09
9,Keskväljak,5900232-1,5900232-1,06:56,07:56,10:10,12:12,14:10,16:10,17:10,18:10
10,Carl Robert Jakobsoni,5900056-1,5900056-1,06:57,07:57,10:11,12:13,14:11,16:11,17:11,18:11
11,Tarva,5900797-1,5900797-1,06:59,07:59,10:13,12:15,14:13,16:13,17:13,18:13
12,Vallimäe,5900886-1,5900886-1,07:00,08:00,10:14,12:17,14:14,16:14,17:14,18:14
13,Tulika,5900815-1,5900815-1,07:02,08:02,10:16,12:18,14:16,16:16,17:16,18:16
14,Õie,5901011-1,5901011-1,07:05,08:05,10:19,12:20,14:19,16:19,17:19,18:19
15,Tammiku,5900777-1,5900777-1,07:08,08:07,10:21,12:21,14:21,16:21,17:21,18:21
16,Tõrma kalmistu,5900822-1,5900822-1,07:11,08:10,10:24,12:24,14:24,16:24,17:24,18:24
