row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_12,reis_14,reis_16,reis_18
1,Tõrma kalmistu,5900823-1,5900823-1,06:19,07:19,08:15,09:30,11:30,13:30,15:30,17:35,18:30
2,Tammiku,5900778-1,5900778-1,06:21,07:21,08:17,09:32,11:32,13:32,15:32,17:37,18:32
3,Õie,5901010-1,5901010-1,06:22,07:22,08:18,09:33,11:33,13:33,15:33,17:38,18:33
4,Tulika,5900816-1,5900816-1,06:23,07:23,08:19,09:34,11:34,13:34,15:34,17:39,18:34
5,Vallimäe,5900887-1,5900887-1,06:24,07:24,08:20,09:35,11:35,13:35,15:35,17:40,18:35
6,Tarva,5900796-1,5900796-1,06:25,07:25,08:21,09:36,11:36,13:36,15:36,17:41,18:36
7,Lai,5900346-1,5900346-1,06:28,07:28,08:24,09:39,11:39,13:39,15:39,17:43,18:39
8,Keskuse,5900255-1,5900255-1,06:30,07:30,08:26,09:41,11:41,13:41,15:41,17:45,18:41
9,Viru,5900953-1,5900953-1,06:31,07:31,08:27,09:42,11:42,13:42,15:42,17:46,18:42
10,Saueaugu,5900709-1,5900709-1,06:34,07:34,08:30,09:45,11:45,13:45,15:45,17:49,18:45
11,Haigla,5900078-1,5900078-1,06:35,07:35,08:31,09:46,11:46,13:46,15:46,17:50,18:45
12,Ööbiku,5901017-1,5901017-1,06:36,07:36,08:32,09:47,11:47,13:47,15:47,17:51,18:46
13,Lilleoru,5900541-1,5900541-1,06:39,07:39,08:35,09:50,11:50,13:50,15:50,17:54,18:49
14,Pauluse kalmistu,5901107-1,5901107-1,06:40,07:40,08:36,09:51,11:51,13:51,15:51,17:55,18:50
15,Tõrma kalmistu,5900822-1,5900822-1,06:43,07:43,08:39,09:54,11:54,13:54,15:54,17:58,18:53
