row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11,reis_13
1,Tõrma kalmistu,5900823-1,5900823-1,08:00,10:00,11:00,14:00,16:00,17:00,18:00
2,Pauluse kalmistu,5901156-1,5901156-1,08:01,10:01,11:01,14:01,16:01,17:01,18:01
3,Lilleoru,5900542-1,5900542-1,08:02,10:02,11:02,14:02,16:02,17:02,18:02
4,Ööbiku,5901018-1,5901018-1,08:03,10:03,11:03,14:03,16:03,17:03,18:03
5,Haigla,5900079-1,5900079-1,08:04,10:04,11:04,14:04,16:04,17:04,18:04
6,Saueaugu,5900710-1,5900710-1,08:05,10:05,11:05,14:05,16:05,17:05,18:05
7,Seminari,5900726-1,5900726-1,08:07,10:07,11:07,14:07,16:07,17:07,18:07
8,Polikliinik,5900577-1,5900577-1,08:09,10:09,11:09,14:09,16:09,17:09,18:09
9,Keskväljak,5900232-1,5900232-1,08:10,10:10,11:10,14:10,16:10,17:10,18:10
10,Carl Robert Jakobsoni,5900056-1,5900056-1,08:11,10:11,11:11,14:11,16:11,17:11,18:11
11,Tarva,5900797-1,5900797-1,08:13,10:13,11:13,14:13,16:13,17:13,18:13
12,Vallimäe,5900886-1,5900886-1,08:14,10:14,11:14,14:14,16:14,17:14,18:14
13,Tulika,5900815-1,5900815-1,08:16,10:16,11:16,14:16,16:16,17:16,18:16
14,Õie,5901011-1,5901011-1,08:19,10:19,11:19,14:19,16:19,17:19,18:19
15,Tammiku,5900777-1,5900777-1,08:21,10:21,11:21,14:21,16:21,17:21,18:21
16,Tõrma kalmistu,5900822-1,5900822-1,08:24,10:24,11:24,14:24,16:24,17:24,18:24
