row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_12
1,Tõrma kalmistu,5900823-1,5900823-1,08:30,10:30,11:30,14:30,16:30,17:30
2,Tammiku,5900778-1,5900778-1,08:32,10:32,11:32,14:32,16:32,17:32
3,Õie,5901010-1,5901010-1,08:33,10:33,11:33,14:33,16:33,17:33
4,Tulika,5900816-1,5900816-1,08:34,10:34,11:34,14:34,16:34,17:34
5,Vallimäe,5900887-1,5900887-1,08:35,10:35,11:35,14:35,16:35,17:35
6,Tarva,5900796-1,5900796-1,08:36,10:36,11:36,14:36,16:36,17:36
7,Lai,5900346-1,5900346-1,08:39,10:39,11:39,14:39,16:39,17:39
8,Keskuse,5900255-1,5900255-1,08:41,10:41,11:41,14:41,16:41,17:41
9,Viru,5900953-1,5900953-1,08:42,10:42,11:42,14:42,16:42,17:42
10,Saueaugu,5900709-1,5900709-1,08:45,10:45,11:45,14:45,16:45,17:45
11,Haigla,5900078-1,5900078-1,08:46,10:46,11:46,14:46,16:46,17:46
12,Ööbiku,5901017-1,5901017-1,08:47,10:47,11:47,14:47,16:47,17:47
13,Lilleoru,5900541-1,5900541-1,08:50,10:50,11:50,14:50,16:50,17:50
14,Pauluse kalmistu,5901107-1,5901107-1,08:51,10:51,11:51,14:51,16:51,17:51
15,Tõrma kalmistu,5900822-1,5900822-1,08:54,10:54,11:54,14:54,16:54,17:54
