row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11
1,Tõrma kalmistu,5900823-1,5900823-1,09:00,11:00,13:00,15:00,17:00,18:00
2,Pauluse kalmistu,5901156-1,5901156-1,09:01,11:01,13:01,15:01,17:01,18:01
3,Lilleoru,5900542-1,5900542-1,09:02,11:02,13:02,15:02,17:02,18:02
4,Ööbiku,5901018-1,5901018-1,09:03,11:03,13:03,15:03,17:03,18:03
5,Haigla,5900079-1,5900079-1,09:04,11:04,13:04,15:04,17:04,18:04
6,Saueaugu,5900710-1,5900710-1,09:05,11:05,13:05,15:05,17:05,18:05
7,Seminari,5900726-1,5900726-1,09:07,11:07,13:07,15:07,17:07,18:07
8,Polikliinik,5900577-1,5900577-1,09:09,11:09,13:09,15:09,17:09,18:09
9,Keskväljak,5900232-1,5900232-1,09:10,11:10,13:10,15:10,17:10,18:10
10,Carl Robert Jakobsoni,5900056-1,5900056-1,09:11,11:11,13:11,15:11,17:11,18:11
11,Tarva,5900797-1,5900797-1,09:13,11:13,13:13,15:13,17:13,18:13
12,Vallimäe,5900886-1,5900886-1,09:14,11:14,13:14,15:14,17:14,18:14
13,Tulika,5900815-1,5900815-1,09:16,11:16,13:16,15:16,17:16,18:16
14,Õie,5901011-1,5901011-1,09:19,11:19,13:19,15:19,17:19,18:19
15,Tammiku,5900777-1,5900777-1,09:21,11:21,13:21,15:21,17:21,18:21
16,Tõrma kalmistu,5900822-1,5900822-1,09:24,11:24,13:24,15:24,17:24,18:24
