row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10
1,Tõrma kalmistu,5900823-1,5900823-1,09:30,11:30,13:30,15:30,17:30
2,Tammiku,5900778-1,5900778-1,09:32,11:32,13:32,15:32,17:32
3,Õie,5901010-1,5901010-1,09:33,11:33,13:33,15:33,17:33
4,Tulika,5900816-1,5900816-1,09:34,11:34,13:34,15:34,17:34
5,Vallimäe,5900887-1,5900887-1,09:35,11:35,13:35,15:35,17:35
6,Tarva,5900796-1,5900796-1,09:36,11:36,13:36,15:36,17:36
7,Lai,5900346-1,5900346-1,09:39,11:39,13:39,15:39,17:39
8,Keskuse,5900255-1,5900255-1,09:41,11:41,13:41,15:41,17:41
9,Viru,5900953-1,5900953-1,09:42,11:42,13:42,15:42,17:42
10,Saueaugu,5900709-1,5900709-1,09:45,11:45,13:45,15:45,17:45
11,Haigla,5900078-1,5900078-1,09:46,11:46,13:46,15:46,17:46
12,Ööbiku,5901017-1,5901017-1,09:47,11:47,13:47,15:47,17:47
13,Lilleoru,5900541-1,5900541-1,09:50,11:50,13:50,15:50,17:50
14,Pauluse kalmistu,5901107-1,5901107-1,09:51,11:51,13:51,15:51,17:51
15,Tõrma kalmistu,5900822-1,5900822-1,09:54,11:54,13:54,15:54,17:54
