row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_14,reis_12,reis_16,reis_18,reis_20,reis_22
1,Põhjakeskus,5900598-1,5900598-1,06:15,07:15,08:12,09:26,10:26,12:26,13:26,14:26,16:26,17:30,18:30
2,Näituse,5900505-1,5900505-1,06:16,07:16,08:13,09:27,10:27,12:27,13:27,14:27,16:27,17:31,18:31
3,Põhja,5900597-1,5900597-1,06:17,07:17,08:14,09:28,10:28,12:28,13:28,14:28,16:28,17:32,18:32
4,Kesk,5900230-1,5900230-1,06:18,07:18,08:15,09:29,10:29,12:29,13:29,14:29,16:29,17:33,18:33
5,Lääne,5900415-1,5900415-1,06:19,07:19,08:16,09:30,10:30,12:30,13:30,14:30,16:30,17:34,18:34
6,Aiand,5900597-1,5900013-1,06:22,07:22,08:19,09:33,10:33,12:33,13:33,14:33,16:33,17:37,18:37
7,Rohu,5900653-1,5900653-1,06:25,07:25,08:22,09:36,10:36,12:36,13:36,14:36,16:36,17:40,18:40
8,Teater,5900800-1,5900800-1,06:26,07:26,08:23,09:37,10:37,12:37,13:37,14:37,16:37,17:41,18:41
9,Lai,5900346-1,5900346-1,06:28,07:28,08:25,09:39,10:39,12:39,13:39,14:39,16:39,17:43,18:43
10,Keskuse,5900255-1,5900255-1,06:30,07:30,08:27,09:41,10:41,12:41,13:41,14:41,16:41,17:44,18:44
11,Polikliinik,5900576-1,5900576-1,06:31,07:31,08:28,09:42,10:42,12:42,13:42,14:42,16:42,17:45,18:45
12,Kungla,5900311-1,5900311-1,06:32,07:32,08:29,09:43,10:43,12:43,13:43,14:43,16:43,17:46,18:46
13,Piiri,5900567-1,5900567-1,06:33,07:33,08:30,09:44,10:44,12:44,13:44,14:44,16:44,17:47,18:47
14,Kivi,5900286-1,5900286-1,06:34,07:34,08:30,09:44,10:44,12:44,13:44,14:44,16:44,17:47,18:47
15,Rägavere tee,5900670-1,5900670-1,06:36,07:36,08:32,09:46,10:46,12:46,13:46,14:46,16:46,17:49,18:49
