row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11,reis_13,reis_15,reis_17,reis_19,reis_21
1,Rägavere tee,5900670-1,5900670-1,06:45,07:45,09:00,10:00,12:00,13:00,14:00,16:00,17:03,18:00,19:00
2,Kivi,5900287-1,5900287-1,06:47,07:47,09:02,10:01,12:01,13:01,14:01,16:01,17:04,18:01,19:01
3,Piiri,5900566-1,5900566-1,06:48,07:48,09:03,10:02,12:02,13:02,14:02,16:02,17:05,18:02,19:02
4,Kungla,5900310-1,5900310-1,06:49,07:49,09:04,10:03,12:03,13:03,14:03,16:03,17:06,18:03,19:03
5,Polikliinik,5900577-1,5900577-1,06:55,07:55,09:10,10:09,12:09,13:09,14:09,16:09,17:12,18:09,19:09
6,Keskväljak,5900232-1,5900232-1,06:56,07:56,09:11,10:10,12:10,13:10,14:10,16:10,17:13,18:10,19:10
7,Carl Robert Jakobsoni,5900056-1,5900056-1,06:57,07:57,09:12,10:11,12:11,13:11,14:11,16:11,17:14,18:11,19:11
8,Teater,5900801-1,5900801-1,06:58,07:58,09:13,10:12,12:12,13:12,14:12,16:12,17:15,18:12,19:12
9,Rohu,5900655-1,5900655-1,06:59,07:59,09:14,10:13,12:13,13:13,14:13,16:13,17:16,18:13,19:13
10,Lääne,5900416-1,5900416-1,07:01,08:01,09:16,10:15,12:15,13:15,14:15,16:15,17:18,18:15,19:15
11,Kesk,5900229-1,5900229-1,07:02,08:02,09:17,10:16,12:16,13:16,14:16,16:16,17:19,18:16,19:16
12,Põhja,5900596-1,5900596-1,07:03,08:03,09:18,10:17,12:17,13:17,14:17,16:17,17:20,18:17,19:17
13,Näituse,5901194-1,5901194-1,07:05,08:05,09:20,10:19,12:19,13:19,14:19,16:19,17:22,18:19,19:19
14,Põhjakeskus,5900598-1,5900598-1,07:06,08:06,09:21,10:20,12:20,13:20,14:20,16:20,17:23,18:20,19:20
