row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_12,reis_14
1,Põhjakeskus,5900598-1,5900598-1,09:26,10:26,12:26,14:26,16:26,17:26,18:26
2,Näituse,5900505-1,5900505-1,09:27,10:27,12:27,14:27,16:27,17:27,18:27
3,Põhja,5900597-1,5900597-1,09:28,10:28,12:28,14:28,16:28,17:28,18:28
4,Kesk,5900230-1,5900230-1,09:29,10:29,12:29,14:29,16:29,17:29,18:29
5,Lääne,5900415-1,5900415-1,09:30,10:30,12:30,14:30,16:30,17:30,18:30
6,Aiand,5900597-1,5900013-1,09:33,10:33,12:33,14:33,16:33,17:33,18:33
7,Rohu,5900653-1,5900653-1,09:36,10:36,12:36,14:36,16:36,17:36,18:36
8,Teater,5900800-1,5900800-1,09:37,10:37,12:37,14:37,16:37,17:37,18:37
9,Lai,5900346-1,5900346-1,09:39,10:39,12:39,14:39,16:39,17:39,18:38
10,Keskuse,5900255-1,5900255-1,09:41,10:41,12:41,14:41,16:41,17:41,18:40
11,Polikliinik,5900576-1,5900576-1,09:42,10:42,12:42,14:42,16:42,17:42,18:41
12,Kungla,5900311-1,5900311-1,09:43,10:43,12:43,14:43,16:43,17:43,18:42
13,Piiri,5900567-1,5900567-1,09:44,10:44,12:44,14:44,16:44,17:44,18:43
14,Kivi,5900286-1,5900286-1,09:44,10:44,12:44,14:44,16:44,17:44,18:44
15,Rägavere tee,5900670-1,5900670-1,09:46,10:46,12:46,14:46,16:46,17:46,18:46
