row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11,reis_13
1,Rägavere tee,5900670-1,5900670-1,09:00,10:00,12:00,14:00,16:00,17:00,18:00
2,Kivi,5900287-1,5900287-1,09:01,10:01,12:01,14:01,16:01,17:01,18:01
3,Piiri,5900566-1,5900566-1,09:02,10:02,12:02,14:02,16:02,17:02,18:02
4,Kungla,5900310-1,5900310-1,09:03,10:03,12:03,14:03,16:03,17:03,18:03
5,Polikliinik,5900577-1,5900577-1,09:09,10:09,12:09,14:09,16:09,17:09,18:09
6,Keskväljak,5900232-1,5900232-1,09:10,10:10,12:10,14:10,16:10,17:10,18:10
7,Carl Robert Jakobsoni,5900056-1,5900056-1,09:11,10:11,12:11,14:11,16:11,17:11,18:11
8,Teater,5900801-1,5900801-1,09:12,10:12,12:12,14:12,16:12,17:12,18:12
9,Rohu,5900655-1,5900655-1,09:13,10:13,12:13,14:13,16:13,17:13,18:13
10,Lääne,5900416-1,5900416-1,09:15,10:15,12:15,14:15,16:15,17:15,18:15
11,Kesk,5900229-1,5900229-1,09:16,10:16,12:16,14:16,16:16,17:16,18:16
12,Põhja,5900596-1,5900596-1,09:17,10:17,12:17,14:17,16:17,17:17,18:17
13,Näituse,5901194-1,5901194-1,09:19,10:19,12:19,14:19,16:19,17:19,18:19
14,Põhjakeskus,5900598-1,5900598-1,09:20,10:20,12:20,14:20,16:20,17:20,18:20
