row,name,printed_stop_id,resolved_stop_id,reis_02,reis_04,reis_06,reis_08,reis_10,reis_12
1,Põhjakeskus,5900598-1,5900598-1,09:26,11:26,13:26,15:26,17:26,18:26
2,Näituse,5900505-1,5900505-1,09:27,11:27,13:27,15:27,17:27,18:27
3,Põhja,5900597-1,5900597-1,09:28,11:28,13:28,15:28,17:28,18:28
4,Kesk,5900230-1,5900230-1,09:29,11:29,13:29,15:29,17:29,18:29
5,Lääne,5900415-1,5900415-1,09:30,11:30,13:30,15:30,17:30,18:30
6,Aiand,5900597-1,5900013-1,09:33,11:33,13:33,15:33,17:33,18:33
7,Rohu,5900653-1,5900653-1,09:36,11:36,13:36,15:36,17:36,18:36
8,Teater,5900800-1,5900800-1,09:37,11:37,13:37,15:37,17:37,18:37
9,Lai,5900346-1,5900346-1,09:39,11:39,13:39,15:39,17:39,18:38
10,Keskuse,5900255-1,5900255-1,09:41,11:41,13:41,15:41,17:41,18:40
11,Polikliinik,5900576-1,5900576-1,09:42,11:42,13:42,15:42,17:42,18:41
12,Kungla,5900311-1,5900311-1,09:43,11:43,13:43,15:43,17:43,18:42
13,Piiri,5900567-1,5900567-1,09:44,11:44,13:44,15:44,17:44,18:43
14,Kivi,5900286-1,5900286-1,09:44,11:44,13:44,15:44,17:44,18:44
15,Rägavere tee,5900670-1,5900670-1,09:46,11:46,13:46,15:46,17:46,18:46
