row,name,printed_stop_id,resolved_stop_id,reis_01,reis_03,reis_05,reis_07,reis_09,reis_11
1,Rägavere tee,5900670-1,5900670-1,09:00,11:00,13:00,15:00,17:00,18:00
2,Kivi,5900287-1,5900287-1,09:01,11:01,13:01,15:01,17:01,18:01
3,Piiri,5900566-1,5900566-1,09:02,11:02,13:02,15:02,17:02,18:02
4,Kungla,5900310-1,5900310-1,09:03,11:03,13:03,15:03,17:03,18:03
5,Polikliinik,5900577-1,5900577-1,09:09,11:09,13:09,15:09,17:09,18:09
6,Keskväljak,5900232-1,5900232-1,09:10,11:10,13:10,15:10,17:10,18:10
7,Carl Robert Jakobsoni,5900056-1,5900056-1,09:11,11:11,13:11,15:11,17:11,18:11
8,Teater,5900801-1,5900801-1,09:12,11:12,13:12,15:12,17:12,18:12
9,Rohu,5900655-1,5900655-1,09:13,11:13,13:13,15:13,17:13,18:13
10,Lääne,5900416-1,5900416-1,09:15,11:15,13:15,15:15,17:15,18:15
11,Kesk,5900229-1,5900229-1,09:16,11:16,13:16,15:16,17:16,18:16
12,Põhja,5900596-1,5900596-1,09:17,11:17,13:17,15:17,17:17,18:17
13,Näituse,5901194-1,5901194-1,09:19,11:19,13:19,15:19,17:19,18:19
14,Põhjakeskus,5900598-1,5900598-1,09:20,11:20,13:20,15:20,17:20,18:20
