name,codes,lines,lat,lon,google_maps_hint
Aiand,5900597-1,"Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Aiand+Rakvere
Arkna tee,"5900036-1, 5900040-1",Liin 2 E-R,,,https://www.google.com/maps/search/Arkna+tee+Rakvere
Bussijaam,5900055-1,"Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Bussijaam+Rakvere
Carl Robert Ja,5900056-1,Liin 3 E-R,,,https://www.google.com/maps/search/Carl+Robert+Ja+Rakvere
Carl Robert Jakobsoni,5900056-1,"Liin 3 L, Liin 3 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Carl+Robert+Jakobsoni+Rakvere
Haigla,"5900078-1, 5900079-1","Liin 3 E-R, Liin 3 L, Liin 3 P",,,https://www.google.com/maps/search/Haigla+Rakvere
Karja,"5900209-1, 5900210-1","Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Karja+Rakvere
Kauba,"5900220-1, 5901245-1","Liin 1 E-R, Liin 1 L, Liin 1 P",,,https://www.google.com/maps/search/Kauba+Rakvere
Kesk,"5900229-1, 5900230-1","Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Kesk+Rakvere
Keskuse,5900255-1,"Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R, Liin 3 E-R, Liin 3 L, Liin 3 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Keskuse+Rakvere
Keskväljak,5900232-1,"Liin 3 E-R, Liin 3 L, Liin 3 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Keskväljak+Rakvere
Kivi,"5900286-1, 5900287-1","Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Kivi+Rakvere
Kungla,"5900310-1, 5900311-1","Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Kungla+Rakvere
Laada,5900338-1,"Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Laada+Rakvere
Lai,5900346-1,"Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R, Liin 3 E-R, Liin 3 L, Liin 3 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Lai+Rakvere
Lihakombinaat,5900659-1,Liin 2 E-R,,,https://www.google.com/maps/search/Lihakombinaat+Rakvere
Lilleoru,"5900541-1, 5900542-1","Liin 3 E-R, Liin 3 L, Liin 3 P",,,https://www.google.com/maps/search/Lilleoru+Rakvere
Lääne,"5900415-1, 5900416-1","Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Lääne+Rakvere
Mäe,"5900464-1, 5900465-1","Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Mäe+Rakvere
Narva,"5900484-1, 5900485-1","Liin 1 E-R, Liin 1 L, Liin 1 P",,,https://www.google.com/maps/search/Narva+Rakvere
Näituse,"5900505-1, 5901194-1","Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Näituse+Rakvere
Näpi,5900508-1,"Liin 1 E-R, Liin 1 L, Liin 1 P",,,https://www.google.com/maps/search/Näpi+Rakvere
Palermo,"5900381-1, 5900382-1","Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Palermo+Rakvere
Papiaru,"5901201-1, 5901202-1",Liin 2 E-R,,,https://www.google.com/maps/search/Papiaru+Rakvere
Pauluse kalmis,"5901107-1, 5901156-1",Liin 3 E-R,,,https://www.google.com/maps/search/Pauluse+kalmis+Rakvere
Pauluse kalmistu,"5901107-1, 5901156-1","Liin 3 L, Liin 3 P",,,https://www.google.com/maps/search/Pauluse+kalmistu+Rakvere
Piira,5900565-1,"Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R",,,https://www.google.com/maps/search/Piira+Rakvere
Piiri,"5900566-1, 5900567-1","Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Piiri+Rakvere
Polikliinik,"5900576-1, 5900577-1","Liin 1 E-R, Liin 1 L, Liin 1 P, Liin 2 E-R, Liin 3 E-R, Liin 3 L, Liin 3 P, Liin 5 E-R, Liin 5 L, Liin 5 P",,,https://www.google.com/maps/search/Polikliinik+Rakvere
